Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After
141,2022-11-18,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Overweight,Overweight,120,120
232,2022-11-18,Ross Stores Inc,ROST,,Kimberly Greenberger,Overweight,Overweight,127,127
178,2022-11-18,Ross Stores Inc,ROST,,Jay Sole,Neutral,Neutral,108,108
142,2022-12-20,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Overweight,Overweight,135,135
86,2023-02-17,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,120,120
87,2023-03-01,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,120,120
342,2023-03-01,Ross Stores Inc,ROST,,Michael Binetti,Outperform,Outperform,123,123
251,2023-03-22,Ross Stores Inc,ROST,Loop Capital,Laura Champine,Buy,Hold,105,115
308,2023-04-03,Ross Stores Inc,ROST,Jpmorgan,Matthew Boss,Overweight,Overweight,124,124
88,2023-05-12,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,120,120
89,2023-05-19,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,120,120
65,2023-06-26,Ross Stores Inc,ROST,Gordon Haskett,Chuck Grom,Buy,Accumulate,120,120
102,2023-06-29,Ross Stores Inc,ROST,,Edward Yruma,Neutral,Neutral,112,112
189,2023-08-03,Ross Stores Inc,ROST,Td Cowen,John Kernan,Outperform,Market Perform,113,128
90,2023-08-10,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,120,120
233,2023-08-18,Ross Stores Inc,ROST,,Kimberly Greenberger,Overweight,Overweight,131,131
423,2023-08-18,Ross Stores Inc,ROST,Guggenheim,Robert Drbul,Buy,Buy,135,135
91,2023-08-18,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,130,130
258,2023-08-18,Ross Stores Inc,ROST,Loop Capital,Laura Champine,Buy,Buy,135,135
66,2023-11-03,Ross Stores Inc,ROST,Gordon Haskett,Chuck Grom,Accumulate,Buy,135,135
343,2023-11-07,Ross Stores Inc,ROST,,Michael Binetti,Outperform,Outperform,140,140
175,2024-02-23,Ross Stores Inc,ROST,Ubs,Jay Sole,Sell,Neutral,85,142
344,2024-02-23,Ross Stores Inc,ROST,,Michael Binetti,Outperform,Outperform,165,165
92,2024-05-17,Ross Stores Inc,ROST,,Dana Telsey,Market Perform,Market Perform,160,160
34,2024-05-24,Ross Stores Inc,ROST,Morgan Stanley,Alex Straton,Overweight,Overweight,161,161
199,2024-05-24,Ross Stores Inc,ROST,Td Cowen,John Kernan,Buy,Buy,176,176
93,2024-05-24,Ross Stores Inc,ROST,,Dana Telsey,Market Perform,Market Perform,160,160
94,2024-06-14,Ross Stores Inc,ROST,,Dana Telsey,Market Perform,Market Perform,160,160
95,2024-08-16,Ross Stores Inc,ROST,,Dana Telsey,Market Perform,Market Perform,160,160
55,2024-08-23,Ross Stores Inc,ROST,Goldman Sachs,Brooke Roach,Buy,Buy,167,185
35,2024-08-23,Ross Stores Inc,ROST,Morgan Stanley,Alex Straton,Overweight,Overweight,178,178
200,2024-08-23,Ross Stores Inc,ROST,Td Cowen,John Kernan,Buy,Buy,185,185
176,2024-08-23,Ross Stores Inc,ROST,Ubs,Jay Sole,Neutral,Neutral,167,167
259,2024-08-23,Ross Stores Inc,ROST,Loop Capital,Laura Champine,Buy,Buy,190,190
283,2024-08-23,Ross Stores Inc,ROST,Baird,Mark Altschwager,Outperform,Outperform,180,180
21,2024-08-23,Ross Stores Inc,ROST,Barclays,Adrienne Yih,Overweight,Overweight,175,175
96,2024-10-29,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,175,175
385,2024-11-12,Ross Stores Inc,ROST,Citi,Paul Lejuez,Buy,Neutral,152,152
143,2024-11-14,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Overweight,Overweight,165,165
198,2024-11-19,Ross Stores Inc,ROST,Td Cowen,John Kernan,Buy,Buy,185,177
97,2024-11-22,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,175,175
144,2025-01-10,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Overweight,Equal Weight,165,165
98,2025-02-24,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,175,175
197,2025-02-28,Ross Stores Inc,ROST,Td Cowen,John Kernan,Buy,Buy,180,175
82,2025-03-05,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perfo,175,150
145,2025-04-08,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Equal Weight,Overweight,150,150
309,2025-04-14,Ross Stores Inc,ROST,Jpmorgan,Matthew Boss,Overweight,Overweight,161,161
99,2025-05-16,Ross Stores Inc,ROST,,Dana Telsey,Market Perform,Market Perform,150,150
36,2025-05-23,Ross Stores Inc,ROST,,Alex Straton,Equal Weight,Equal Weight,126,126
100,2025-05-23,Ross Stores Inc,ROST,,Dana Telsey,Market Perform,Market Perform,150,150
146,2025-05-23,Ross Stores Inc,ROST,,Ike Boruchow,Overweight,Overweight,150,150
68,2025-05-23,Ross Stores Inc,ROST,Jefferies,Corey Tarlowe,Hold,Hold,145,135
305,2025-06-13,Ross Stores Inc,ROST,Jpmorgan,Matthew Boss,Overweight,Overweight,141,154
310,2025-07-28,Ross Stores Inc,ROST,,Matthew Boss,Overweight,Overweight,156,156
