Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After
291,12/10/2021,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,610,610
319,12/10/2021,Costco Wholesale,COST,,Karen Short,Overweight,Overweight,570,570
86,12/14/2021,Costco Wholesale,COST,Argus,Christopher Graja,Buy,Buy,515,610
358,3/4/2022,Costco Wholesale,COST,Bmo,Kelly Bania,Outperform,Outperform,560,580
292,3/4/2022,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,615,615
42,3/30/2022,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,620,620
904,4/7/2022,Costco Wholesale,COST,Jefferies,Stephanie Wissink,Buy,Buy,650,670
324,4/7/2022,Costco Wholesale,COST,Goldman Sachs,Kate Mcshane,Buy,Buy,627,627
33,4/7/2022,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,645,645
21,4/19/2022,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,645,645
293,5/27/2022,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,590,590
22,5/31/2022,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,560,560
135,6/2/2022,Costco Wholesale,COST,,Corey Tarlowe,Buy,Buy,580,580
385,7/14/2022,Costco Wholesale,COST,Deutsche Bank,Krisztina Katai,Buy,Hold,525,579
344,8/4/2022,Costco Wholesale,COST,Goldman Sachs,Kate Mcshane,Buy,Buy,573,573
23,8/5/2022,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,600,600
127,9/1/2022,Costco Wholesale,COST,Jefferies,Corey Tarlowe,Buy,Buy,580,610
897,9/23/2022,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,525,525
24,9/26/2022,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,560,560
25,12/1/2022,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,570,570
294,12/9/2022,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,580,580
460,12/9/2022,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,In Line,565,545
554,1/6/2023,Costco Wholesale,COST,Ubs,Michael Lasser,Buy,Buy,600,600
175,2/6/2023,Costco Wholesale,COST,,George Kelly,Equal Weight,Equal Weight,475,475
855,2/8/2023,Costco Wholesale,COST,,Seth Sigman,Equal Weight,Equal Weight,510,510
306,3/3/2023,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,540,540
261,3/28/2023,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,540,540
262,4/6/2023,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,540,540
779,4/6/2023,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,550,550
13,5/26/2023,Costco Wholesale,COST,Roth Mkm,Bill Kirk,Neutral,Neutral,482,482
263,5/26/2023,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,540,540
780,5/26/2023,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,550,550
443,6/2/2023,Costco Wholesale,COST,Loop Capital,Laura Champine,Buy,Buy,570,570
781,6/5/2023,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,575,575
212,6/8/2023,Costco Wholesale,COST,Tigress Partners,Ivan Feinseth,Buy,Buy,635,635
264,6/29/2023,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,540,540
597,7/10/2023,Costco Wholesale,COST,Citi,Paul Lejuez,Neutral,Neutral,530,530
769,7/25/2023,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,575,630
265,8/3/2023,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,575,575
