,Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Score Before,Score After ,Event Type
311,356,2/4/2022,Amazon.com Inc,AMZN,Wolfe,Deepak Mathivanan,Outperform,Outperform,3950,3950,1,1,No change
312,497,2/4/2022,Amazon.com Inc,AMZN,Goldman Sachs,Eric Sheridan,Buy,Buy,205,210,1,1,No change
313,524,2/4/2022,Amazon.com Inc,AMZN,NaN,Greg Badishkanian,Outperform,Outperform,3950,3950,1,1,No change
314,841,3/11/2022,Amazon.com Inc,AMZN,NaN,Lee Horowitz,Buy,Buy,205,205,1,1,No change
315,1394,3/30/2022,Amazon.com Inc,AMZN,NaN,Stefan Slowinski,Underperform,Underperform,140,140,-1,-1,No change
316,468,4/5/2022,Amazon.com Inc,AMZN,Goldman Sachs,Eric Sheridan,Buy,Buy,4250,4250,1,1,No change
317,930,4/5/2022,Amazon.com Inc,AMZN,Evercore,Mark Mahaney,Outperform,Outperform,4700,4700,1,1,No change
318,584,4/20/2022,Amazon.com Inc,AMZN,NaN,Jason Bazinet,Buy,Buy,4550,4550,1,1,No change
319,1052,4/20/2022,Amazon.com Inc,AMZN,NaN,Michael Lasser,Buy,Buy,4550,4550,1,1,No change
320,881,4/20/2022,Amazon.com Inc,AMZN,Ubs,Lloyd Walmsley,Buy,Buy,231.25,227.5,1,1,No change
321,329,4/29/2022,Amazon.com Inc,AMZN,Benchmark,Daniel Kurnos,Buy,In Line,200,185,1,NaN,None
322,735,4/29/2022,Amazon.com Inc,AMZN,NaN,Joseph Feldman,Outperform,Outperform,170,170,1,1,No change
323,885,4/29/2022,Amazon.com Inc,AMZN,Canaccord,Maria Ripps,Buy,Buy,3625,3625,1,1,No change
324,27,4/29/2022,Amazon.com Inc,AMZN,NaN,Andrew Boone,Market Outperform,Market Outperform,3600,3600,NaN,NaN,None
325,1194,4/29/2022,Amazon.com Inc,AMZN,Roth Mkm,Rohit Kulkarni,Buy,Buy,181.25,181.25,1,1,No change
326,1053,4/29/2022,Amazon.com Inc,AMZN,NaN,Michael Lasser,Buy,Buy,3625,3625,1,1,No change
327,29,6/1/2022,Amazon.com Inc,AMZN,NaN,Andrew Boone,Market Outperform,Market Outperform,3450,3450,NaN,NaN,None
328,217,6/6/2022,Amazon.com Inc,AMZN,Morgan Stanley,Brian Nowak,Overweight,Overweight,175,175,1,1,No change
329,1195,6/6/2022,Amazon.com Inc,AMZN,Roth Mkm,Rohit Kulkarni,Buy,Buy,180,180,1,1,No change
330,511,6/10/2022,Amazon.com Inc,AMZN,Goldman Sachs,Eric Sheridan,Buy,Buy,170,170,1,1,No change
331,63,6/14/2022,Amazon.com Inc,AMZN,Rosenblatt,Barton Crockett,Neutral,Neutral,107,107,0,0,No change
332,1056,6/28/2022,Amazon.com Inc,AMZN,NaN,Michael Lasser,Buy,Buy,167,167,1,1,No change
333,864,6/28/2022,Amazon.com Inc,AMZN,Ubs,Lloyd Walmsley,Buy,Buy,209,167,1,1,No change
334,435,6/29/2022,Amazon.com Inc,AMZN,Jpmorgan,Doug Anmuth,Overweight,Overweight,175,175,1,1,No change
335,572,6/29/2022,Amazon.com Inc,AMZN,Tigress Partners,Ivan Feinseth,Buy,Buy,232,232,1,1,No change
336,525,6/29/2022,Amazon.com Inc,AMZN,NaN,Greg Badishkanian,Outperform,Outperform,140,140,1,1,No change
337,736,7/13/2022,Amazon.com Inc,AMZN,NaN,Joseph Feldman,Outperform,Outperform,145,145,1,1,No change
338,586,7/14/2022,Amazon.com Inc,AMZN,NaN,Jason Bazinet,Buy,Buy,180,180,1,1,No change
339,1285,7/15/2022,Amazon.com Inc,AMZN,Barclays,Ross Sandler,Overweight,Overweight,195,195,1,1,No change
340,842,7/21/2022,Amazon.com Inc,AMZN,Deutsche Bank,Lee Horowitz,Buy,Buy,155,155,1,1,No change
341,64,7/29/2022,Amazon.com Inc,AMZN,Rosenblatt,Barton Crockett,Neutral,Neutral,118,118,0,0,No change
342,1312,7/29/2022,Amazon.com Inc,AMZN,Stifel,Scott Devitt,Buy,In Line,185,200,1,NaN,None
343,1140,7/29/2022,Amazon.com Inc,AMZN,NaN,Nicholas Jones,Market Outperform,Market Outperform,180,180,NaN,NaN,None
344,28,7/29/2022,Amazon.com Inc,AMZN,NaN,Andrew Boone,Market Outperform,Market Outperform,180,180,NaN,NaN,None
345,737,7/29/2022,Amazon.com Inc,AMZN,NaN,Joseph Feldman,Outperform,Outperform,150,150,1,1,No change
346,800,7/29/2022,Amazon.com Inc,AMZN,NaN,Justin Post,Buy,Buy,170,170,1,1,No change
347,801,10/3/2022,Amazon.com Inc,AMZN,NaN,Justin Post,Buy,Buy,157,157,1,1,No change
348,436,10/21/2022,Amazon.com Inc,AMZN,NaN,Doug Anmuth,Overweight,Overweight,175,175,1,1,No change
349,317,10/28/2022,Amazon.com Inc,AMZN,Baird,Colin Sebastian,Outperform,Outperform,130,130,1,1,No change
350,218,10/28/2022,Amazon.com Inc,AMZN,Morgan Stanley,Brian Nowak,Overweight,Overweight,140,140,1,1,No change
351,818,10/28/2022,Amazon.com Inc,AMZN,Needham,Laura Martin,Buy,Buy,120,120,1,1,No change
352,1286,10/28/2022,Amazon.com Inc,AMZN,Barclays,Ross Sandler,Overweight,Overweight,140,140,1,1,No change
353,632,10/28/2022,Amazon.com Inc,AMZN,Oppenheimer,Jason Helfstein,Outperform,Outperform,130,130,1,1,No change
354,1238,10/28/2022,Amazon.com Inc,AMZN,NaN,Ronald Josey,Buy,Buy,145,145,1,1,No change
355,738,10/28/2022,Amazon.com Inc,AMZN,NaN,Joseph Feldman,Outperform,Outperform,140,140,1,1,No change
356,65,11/14/2022,Amazon.com Inc,AMZN,Rosenblatt,Barton Crockett,Neutral,Neutral,103,103,0,0,No change
357,1479,11/22/2022,Amazon.com Inc,AMZN,Piper Sandler,Thomas Champion,Overweight,Overweight,119,119,1,1,No change
358,512,1/13/2023,Amazon.com Inc,AMZN,Goldman Sachs,Eric Sheridan,Buy,Buy,145,145,1,1,No change
359,1121,2/3/2023,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Market Outperform,Market Outperform,140,140,NaN,NaN,None
360,819,2/3/2023,Amazon.com Inc,AMZN,Needham,Laura Martin,Buy,Buy,120,120,1,1,No change
361,66,2/3/2023,Amazon.com Inc,AMZN,Rosenblatt,Barton Crockett,Neutral,Neutral,106,106,0,0,No change
362,1514,2/3/2023,Amazon.com Inc,AMZN,D.A. Davidson,Tom Forte,Buy,Buy,134,134,1,1,No change
363,1458,2/3/2023,Amazon.com Inc,AMZN,Credit Suisse,Stephen Ju,Outperform,Outperform,150,150,1,1,No change
364,573,2/9/2023,Amazon.com Inc,AMZN,Tigress Partners,Ivan Feinseth,Buy,Buy,192,192,1,1,No change
365,1122,3/16/2023,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Market Outperform,Market Outperform,140,140,NaN,NaN,None
366,437,3/16/2023,Amazon.com Inc,AMZN,NaN,Doug Anmuth,Overweight,Overweight,135,135,1,1,No change
367,820,3/20/2023,Amazon.com Inc,AMZN,Needham,Laura Martin,Buy,Buy,120,120,1,1,No change
368,821,4/5/2023,Amazon.com Inc,AMZN,Needham,Laura Martin,Buy,Buy,120,120,1,1,No change
369,633,4/6/2023,Amazon.com Inc,AMZN,Oppenheimer,Jason Helfstein,Outperform,Outperform,125,125,1,1,No change
370,1549,4/12/2023,Amazon.com Inc,AMZN,Truist,Youssef Squali,Buy,Positive,142,144,1,1,No change
371,822,4/12/2023,Amazon.com Inc,AMZN,Needham,Laura Martin,Buy,Buy,120,120,1,1,No change
372,1123,4/19/2023,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Market Outperform,Market Outperform,140,140,NaN,NaN,None
373,739,4/20/2023,Amazon.com Inc,AMZN,NaN,Joseph Feldman,Outperform,Outperform,125,125,1,1,No change
374,1196,4/28/2023,Amazon.com Inc,AMZN,NaN,Rohit Kulkarni,Buy,Buy,130,130,1,1,No change
375,1124,4/28/2023,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Market Outperform,Market Outp,140,140,NaN,NaN,None
376,1107,4/28/2023,Amazon.com Inc,AMZN,Wedbush,Michael Pachter,Outperform,Outperform,129,129,1,1,No change
377,823,4/28/2023,Amazon.com Inc,AMZN,Needham,Laura Martin,Buy,Buy,120,120,1,1,No change
378,722,4/28/2023,Amazon.com Inc,AMZN,Telsey Advisory,Joseph Feldman,Outperform,Outperform,125,125,1,1,No change
379,1480,6/7/2023,Amazon.com Inc,AMZN,Piper Sandler,Thomas Champion,Overweight,Overweight,150,150,1,1,No change
380,883,6/8/2023,Amazon.com Inc,AMZN,Ubs,Lloyd Walmsley,Buy,Buy,150,150,1,1,No change
381,796,6/12/2023,Amazon.com Inc,AMZN,Baml,Justin Post,Buy,Buy,154,154,1,1,No change
382,109,6/21/2023,Amazon.com Inc,AMZN,Jefferies,Brent Thill,Buy,Positive,135,150,1,1,No change
383,438,6/22/2023,Amazon.com Inc,AMZN,Jpmorgan,Doug Anmuth,Overweight,Overweight,145,145,1,1,No change
384,205,6/22/2023,Amazon.com Inc,AMZN,Morgan Stanley,Brian Nowak,Overweight,Overweight,150,150,1,1,No change
385,1197,6/26/2023,Amazon.com Inc,AMZN,NaN,Rohit Kulkarni,Buy,Buy,155,155,1,1,No change
386,1125,7/11/2023,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Market Outperform,Market Outp,140,140,NaN,NaN,None
387,574,7/13/2023,Amazon.com Inc,AMZN,Tigress Partners,Ivan Feinseth,Buy,Buy,204,204,1,1,No change
388,1126,7/18/2023,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Market Outperform,Market Outp,140,140,NaN,NaN,None
389,1239,8/4/2023,Amazon.com Inc,AMZN,NaN,Ronald Josey,Buy,Buy,167,167,1,1,No change
390,67,8/4/2023,Amazon.com Inc,AMZN,Rosenblatt,Barton Crockett,Neutral,Buy,184,184,0,1,Upgrade
391,1473,8/24/2023,Amazon.com Inc,AMZN,Piper Sandler,Thomas Champion,Overweight,Overweight,175,185,1,1,No change
