Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Event Type
288,2021-09-24,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,480,480,No Change
17,2021-09-24,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,490,490,No Change
895,2021-09-24,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,510,510,No Change
725,2021-10-01,Costco Wholesale,COST,Credit Suisse,Robert Moskow,Neutral,Neutral,490,490,No Change
596,2021-10-01,Costco Wholesale,COST,,Paul Lejuez,Neutral,Neutral,495,495,No Change
719,2021-10-01,Costco Wholesale,COST,Baird,Peter Benedict,Outperform,Outperform,520,520,No Change
289,2021-10-01,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,480,480,No Change
896,2021-10-01,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,510,510,No Change
18,2021-10-01,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,490,490,No Change
383,2021-10-01,Costco Wholesale,COST,Deutsche Bank,Krisztina Katai,Hold,Hold,424,424,No Change
577,2021-10-08,Costco Wholesale,COST,Td Cowen,Oliver Chen,Outperform,Outperform,520,520,No Change
490,2021-11-02,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,515,515,No Change
290,2021-11-05,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,540,540,No Change
19,2021-11-05,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,540,540,No Change
764,2021-11-10,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,540,540,No Change
242,2021-11-10,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,540,540,No Change
45,2021-11-10,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,540,540,No Change
79,2021-11-11,Costco Wholesale,COST,Gordon Haskett,Charles Grom,Accumulate,Buy,525,575,No Change
20,2021-12-03,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,565,565,No Change
589,2021-12-03,Costco Wholesale,COST,,Paul Lejuez,Neutral,Neutral,540,540,No Change
319,2021-12-10,Costco Wholesale,COST,,Karen Short,Overweight,Overweight,570,570,No Change
291,2021-12-10,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,610,610,No Change
